trip_id,arrival_time,departure_time,stop_id,stop_sequence
TNCG2_0330,03:30:00,03:30:00,S01,1
TNCG2_0330,03:39:35,03:39:35,S02,2
TNCG2_0330,03:49:10,03:49:10,S03,3
TNCG2_0330,03:58:45,03:58:45,S04,4
TNCG2_0330,04:08:20,04:08:20,S05,5
TNCG2_0330,04:17:55,04:17:55,S06,6
TNCG2_0330,04:27:30,04:27:30,S07,7
TNCG2_0330,04:37:05,04:37:05,S08,8
TNCG2_0330,04:46:40,04:46:40,S09,9
TNCG2_0330,04:56:15,04:56:15,S10,10
TNCG2_0330,05:05:50,05:05:50,S11,11
TNCG2_0330,05:15:25,05:15:25,S12,12
TNCG2_0330,05:25:00,05:25:00,S13,13
TNCG2_0330,05:34:35,05:34:35,S14,14
TNCG2_0330,05:44:10,05:44:10,S15,15
TNCG2_0330,05:53:45,05:53:45,S16,16
TNCG2_0330,06:03:20,06:03:20,S17,17
TNCG2_0330,06:12:55,06:12:55,S18,18
TNCG2_0330,06:22:30,06:22:30,S19,19
TNCG2_0330,06:32:05,06:32:05,S20,20
TNCG2_0330,06:41:40,06:41:40,S21,21
TNCG2_0330,06:51:15,06:51:15,S22,22
TNCG2_0330,07:00:50,07:00:50,S23,23
TNCG2_0330,07:10:25,07:10:25,S24,24
TNCG2_0330,07:20:00,07:20:00,S25,25
TNCG2_0400,04:00:00,04:00:00,S01,1
TNCG2_0400,04:09:35,04:09:35,S02,2
TNCG2_0400,04:19:10,04:19:10,S03,3
TNCG2_0400,04:28:45,04:28:45,S04,4
TNCG2_0400,04:38:20,04:38:20,S05,5
TNCG2_0400,04:47:55,04:47:55,S06,6
TNCG2_0400,04:57:30,04:57:30,S07,7
TNCG2_0400,05:07:05,05:07:05,S08,8
TNCG2_0400,05:16:40,05:16:40,S09,9
TNCG2_0400,05:26:15,05:26:15,S10,10
TNCG2_0400,05:35:50,05:35:50,S11,11
TNCG2_0400,05:45:25,05:45:25,S12,12
TNCG2_0400,05:55:00,05:55:00,S13,13
TNCG2_0400,06:04:35,06:04:35,S14,14
TNCG2_0400,06:14:10,06:14:10,S15,15
TNCG2_0400,06:23:45,06:23:45,S16,16
TNCG2_0400,06:33:20,06:33:20,S17,17
TNCG2_0400,06:42:55,06:42:55,S18,18
TNCG2_0400,06:52:30,06:52:30,S19,19
TNCG2_0400,07:02:05,07:02:05,S20,20
TNCG2_0400,07:11:40,07:11:40,S21,21
TNCG2_0400,07:21:15,07:21:15,S22,22
TNCG2_0400,07:30:50,07:30:50,S23,23
TNCG2_0400,07:40:25,07:40:25,S24,24
TNCG2_0400,07:50:00,07:50:00,S25,25
TNCG2_0430,04:30:00,04:30:00,S01,1
TNCG2_0430,04:39:22,04:39:22,S02,2
TNCG2_0430,04:48:45,04:48:45,S03,3
TNCG2_0430,04:58:08,04:58:08,S04,4
TNCG2_0430,05:07:30,05:07:30,S05,5
TNCG2_0430,05:16:52,05:16:52,S06,6
TNCG2_0430,05:26:15,05:26:15,S07,7
TNCG2_0430,05:35:38,05:35:38,S08,8
TNCG2_0430,05:45:00,05:45:00,S09,9
TNCG2_0430,05:54:22,05:54:22,S10,10
TNCG2_0430,06:03:45,06:03:45,S11,11
TNCG2_0430,06:13:08,06:13:08,S12,12
TNCG2_0430,06:22:30,06:22:30,S13,13
TNCG2_0430,06:31:52,06:31:52,S14,14
TNCG2_0430,06:41:15,06:41:15,S15,15
TNCG2_0430,06:50:38,06:50:38,S16,16
TNCG2_0430,07:00:00,07:00:00,S17,17
TNCG2_0430,07:09:22,07:09:22,S18,18
TNCG2_0430,07:18:45,07:18:45,S19,19
TNCG2_0430,07:28:08,07:28:08,S20,20
TNCG2_0430,07:37:30,07:37:30,S21,21
TNCG2_0430,07:46:52,07:46:52,S22,22
TNCG2_0430,07:56:15,07:56:15,S23,23
TNCG2_0430,08:05:38,08:05:38,S24,24
TNCG2_0430,08:15:00,08:15:00,S25,25
TNCG2_0450,04:50:00,04:50:00,S01,1
TNCG2_0450,04:59:48,04:59:48,S02,2
TNCG2_0450,05:09:35,05:09:35,S03,3
TNCG2_0450,05:19:22,05:19:22,S04,4
TNCG2_0450,05:29:10,05:29:10,S05,5
TNCG2_0450,05:38:58,05:38:58,S06,6
TNCG2_0450,05:48:45,05:48:45,S07,7
TNCG2_0450,05:58:32,05:58:32,S08,8
TNCG2_0450,06:08:20,06:08:20,S09,9
TNCG2_0450,06:18:08,06:18:08,S10,10
TNCG2_0450,06:27:55,06:27:55,S11,11
TNCG2_0450,06:37:42,06:37:42,S12,12
TNCG2_0450,06:47:30,06:47:30,S13,13
TNCG2_0450,06:57:18,06:57:18,S14,14
TNCG2_0450,07:07:05,07:07:05,S15,15
TNCG2_0450,07:16:52,07:16:52,S16,16
TNCG2_0450,07:26:40,07:26:40,S17,17
TNCG2_0450,07:36:28,07:36:28,S18,18
TNCG2_0450,07:46:15,07:46:15,S19,19
TNCG2_0450,07:56:02,07:56:02,S20,20
TNCG2_0450,08:05:50,08:05:50,S21,21
TNCG2_0450,08:15:38,08:15:38,S22,22
TNCG2_0450,08:25:25,08:25:25,S23,23
TNCG2_0450,08:35:12,08:35:12,S24,24
TNCG2_0450,08:45:00,08:45:00,S25,25
TNCG2_0515,05:15:00,05:15:00,S01,1
TNCG2_0515,05:25:38,05:25:38,S02,2
TNCG2_0515,05:36:15,05:36:15,S03,3
TNCG2_0515,05:46:52,05:46:52,S04,4
TNCG2_0515,05:57:30,05:57:30,S05,5
TNCG2_0515,06:08:08,06:08:08,S06,6
TNCG2_0515,06:18:45,06:18:45,S07,7
TNCG2_0515,06:29:22,06:29:22,S08,8
TNCG2_0515,06:40:00,06:40:00,S09,9
TNCG2_0515,06:50:38,06:50:38,S10,10
TNCG2_0515,07:01:15,07:01:15,S11,11
TNCG2_0515,07:11:52,07:11:52,S12,12
TNCG2_0515,07:22:30,07:22:30,S13,13
TNCG2_0515,07:33:08,07:33:08,S14,14
TNCG2_0515,07:43:45,07:43:45,S15,15
TNCG2_0515,07:54:22,07:54:22,S16,16
TNCG2_0515,08:05:00,08:05:00,S17,17
TNCG2_0515,08:15:38,08:15:38,S18,18
TNCG2_0515,08:26:15,08:26:15,S19,19
TNCG2_0515,08:36:52,08:36:52,S20,20
TNCG2_0515,08:47:30,08:47:30,S21,21
TNCG2_0515,08:58:08,08:58:08,S22,22
TNCG2_0515,09:08:45,09:08:45,S23,23
TNCG2_0515,09:19:22,09:19:22,S24,24
TNCG2_0515,09:30:00,09:30:00,S25,25
TNCG2_0540,05:40:00,05:40:00,S01,1
TNCG2_0540,05:50:00,05:50:00,S02,2
TNCG2_0540,06:00:00,06:00:00,S03,3
TNCG2_0540,06:10:00,06:10:00,S04,4
TNCG2_0540,06:20:00,06:20:00,S05,5
TNCG2_0540,06:30:00,06:30:00,S06,6
TNCG2_0540,06:40:00,06:40:00,S07,7
TNCG2_0540,06:50:00,06:50:00,S08,8
TNCG2_0540,07:00:00,07:00:00,S09,9
TNCG2_0540,07:10:00,07:10:00,S10,10
TNCG2_0540,07:20:00,07:20:00,S11,11
TNCG2_0540,07:30:00,07:30:00,S12,12
TNCG2_0540,07:40:00,07:40:00,S13,13
TNCG2_0540,07:50:00,07:50:00,S14,14
TNCG2_0540,08:00:00,08:00:00,S15,15
TNCG2_0540,08:10:00,08:10:00,S16,16
TNCG2_0540,08:20:00,08:20:00,S17,17
TNCG2_0540,08:30:00,08:30:00,S18,18
TNCG2_0540,08:40:00,08:40:00,S19,19
TNCG2_0540,08:50:00,08:50:00,S20,20
TNCG2_0540,09:00:00,09:00:00,S21,21
TNCG2_0540,09:10:00,09:10:00,S22,22
TNCG2_0540,09:20:00,09:20:00,S23,23
TNCG2_0540,09:30:00,09:30:00,S24,24
TNCG2_0540,09:40:00,09:40:00,S25,25
TNCG2_0615,06:15:00,06:15:00,S01,1
TNCG2_0615,06:24:48,06:24:48,S02,2
TNCG2_0615,06:34:35,06:34:35,S03,3
TNCG2_0615,06:44:22,06:44:22,S04,4
TNCG2_0615,06:54:10,06:54:10,S05,5
TNCG2_0615,07:03:58,07:03:58,S06,6
TNCG2_0615,07:13:45,07:13:45,S07,7
TNCG2_0615,07:23:32,07:23:32,S08,8
TNCG2_0615,07:33:20,07:33:20,S09,9
TNCG2_0615,07:43:08,07:43:08,S10,10
TNCG2_0615,07:52:55,07:52:55,S11,11
TNCG2_0615,08:02:42,08:02:42,S12,12
TNCG2_0615,08:12:30,08:12:30,S13,13
TNCG2_0615,08:22:18,08:22:18,S14,14
TNCG2_0615,08:32:05,08:32:05,S15,15
TNCG2_0615,08:41:52,08:41:52,S16,16
TNCG2_0615,08:51:40,08:51:40,S17,17
TNCG2_0615,09:01:28,09:01:28,S18,18
TNCG2_0615,09:11:15,09:11:15,S19,19
TNCG2_0615,09:21:02,09:21:02,S20,20
TNCG2_0615,09:30:50,09:30:50,S21,21
TNCG2_0615,09:40:38,09:40:38,S22,22
TNCG2_0615,09:50:25,09:50:25,S23,23
TNCG2_0615,10:00:12,10:00:12,S24,24
TNCG2_0615,10:10:00,10:10:00,S25,25
TNCG2_0700,07:00:00,07:00:00,S01,1
TNCG2_0700,07:09:35,07:09:35,S02,2
TNCG2_0700,07:19:10,07:19:10,S03,3
TNCG2_0700,07:28:45,07:28:45,S04,4
TNCG2_0700,07:38:20,07:38:20,S05,5
TNCG2_0700,07:47:55,07:47:55,S06,6
TNCG2_0700,07:57:30,07:57:30,S07,7
TNCG2_0700,08:07:05,08:07:05,S08,8
TNCG2_0700,08:16:40,08:16:40,S09,9
TNCG2_0700,08:26:15,08:26:15,S10,10
TNCG2_0700,08:35:50,08:35:50,S11,11
TNCG2_0700,08:45:25,08:45:25,S12,12
TNCG2_0700,08:55:00,08:55:00,S13,13
TNCG2_0700,09:04:35,09:04:35,S14,14
TNCG2_0700,09:14:10,09:14:10,S15,15
TNCG2_0700,09:23:45,09:23:45,S16,16
TNCG2_0700,09:33:20,09:33:20,S17,17
TNCG2_0700,09:42:55,09:42:55,S18,18
TNCG2_0700,09:52:30,09:52:30,S19,19
TNCG2_0700,10:02:05,10:02:05,S20,20
TNCG2_0700,10:11:40,10:11:40,S21,21
TNCG2_0700,10:21:15,10:21:15,S22,22
TNCG2_0700,10:30:50,10:30:50,S23,23
TNCG2_0700,10:40:25,10:40:25,S24,24
TNCG2_0700,10:50:00,10:50:00,S25,25
TNCG2_0730,07:30:00,07:30:00,S01,1
TNCG2_0730,07:39:35,07:39:35,S02,2
TNCG2_0730,07:49:10,07:49:10,S03,3
TNCG2_0730,07:58:45,07:58:45,S04,4
TNCG2_0730,08:08:20,08:08:20,S05,5
TNCG2_0730,08:17:55,08:17:55,S06,6
TNCG2_0730,08:27:30,08:27:30,S07,7
TNCG2_0730,08:37:05,08:37:05,S08,8
TNCG2_0730,08:46:40,08:46:40,S09,9
TNCG2_0730,08:56:15,08:56:15,S10,10
TNCG2_0730,09:05:50,09:05:50,S11,11
TNCG2_0730,09:15:25,09:15:25,S12,12
TNCG2_0730,09:25:00,09:25:00,S13,13
TNCG2_0730,09:34:35,09:34:35,S14,14
TNCG2_0730,09:44:10,09:44:10,S15,15
TNCG2_0730,09:53:45,09:53:45,S16,16
TNCG2_0730,10:03:20,10:03:20,S17,17
TNCG2_0730,10:12:55,10:12:55,S18,18
TNCG2_0730,10:22:30,10:22:30,S19,19
TNCG2_0730,10:32:05,10:32:05,S20,20
TNCG2_0730,10:41:40,10:41:40,S21,21
TNCG2_0730,10:51:15,10:51:15,S22,22
TNCG2_0730,11:00:50,11:00:50,S23,23
TNCG2_0730,11:10:25,11:10:25,S24,24
TNCG2_0730,11:20:00,11:20:00,S25,25
TNCG2_0810,08:10:00,08:10:00,S01,1
TNCG2_0810,08:22:05,08:22:05,S02,2
TNCG2_0810,08:34:10,08:34:10,S03,3
TNCG2_0810,08:46:15,08:46:15,S04,4
TNCG2_0810,08:58:20,08:58:20,S05,5
TNCG2_0810,09:10:25,09:10:25,S06,6
TNCG2_0810,09:22:30,09:22:30,S07,7
TNCG2_0810,09:34:35,09:34:35,S08,8
TNCG2_0810,09:46:40,09:46:40,S09,9
TNCG2_0810,09:58:45,09:58:45,S10,10
TNCG2_0810,10:10:50,10:10:50,S11,11
TNCG2_0810,10:22:55,10:22:55,S12,12
TNCG2_0810,10:35:00,10:35:00,S13,13
TNCG2_0810,10:47:05,10:47:05,S14,14
TNCG2_0810,10:59:10,10:59:10,S15,15
TNCG2_0810,11:11:15,11:11:15,S16,16
TNCG2_0810,11:23:20,11:23:20,S17,17
TNCG2_0810,11:35:25,11:35:25,S18,18
TNCG2_0810,11:47:30,11:47:30,S19,19
TNCG2_0810,11:59:35,11:59:35,S20,20
TNCG2_0810,12:11:40,12:11:40,S21,21
TNCG2_0810,12:23:45,12:23:45,S22,22
TNCG2_0810,12:35:50,12:35:50,S23,23
TNCG2_0810,12:47:55,12:47:55,S24,24
TNCG2_0810,13:00:00,13:00:00,S25,25
TNCG2_0830,08:30:00,08:30:00,S01,1
TNCG2_0830,08:42:55,08:42:55,S02,2
TNCG2_0830,08:55:50,08:55:50,S03,3
TNCG2_0830,09:08:45,09:08:45,S04,4
TNCG2_0830,09:21:40,09:21:40,S05,5
TNCG2_0830,09:34:35,09:34:35,S06,6
TNCG2_0830,09:47:30,09:47:30,S07,7
TNCG2_0830,10:00:25,10:00:25,S08,8
TNCG2_0830,10:13:20,10:13:20,S09,9
TNCG2_0830,10:26:15,10:26:15,S10,10
TNCG2_0830,10:39:10,10:39:10,S11,11
TNCG2_0830,10:52:05,10:52:05,S12,12
TNCG2_0830,11:05:00,11:05:00,S13,13
TNCG2_0830,11:17:55,11:17:55,S14,14
TNCG2_0830,11:30:50,11:30:50,S15,15
TNCG2_0830,11:43:45,11:43:45,S16,16
TNCG2_0830,11:56:40,11:56:40,S17,17
TNCG2_0830,12:09:35,12:09:35,S18,18
TNCG2_0830,12:22:30,12:22:30,S19,19
TNCG2_0830,12:35:25,12:35:25,S20,20
TNCG2_0830,12:48:20,12:48:20,S21,21
TNCG2_0830,13:01:15,13:01:15,S22,22
TNCG2_0830,13:14:10,13:14:10,S23,23
TNCG2_0830,13:27:05,13:27:05,S24,24
TNCG2_0830,13:40:00,13:40:00,S25,25
TNCG2_0910,09:10:00,09:10:00,S01,1
TNCG2_0910,09:21:40,09:21:40,S02,2
TNCG2_0910,09:33:20,09:33:20,S03,3
TNCG2_0910,09:45:00,09:45:00,S04,4
TNCG2_0910,09:56:40,09:56:40,S05,5
TNCG2_0910,10:08:20,10:08:20,S06,6
TNCG2_0910,10:20:00,10:20:00,S07,7
TNCG2_0910,10:31:40,10:31:40,S08,8
TNCG2_0910,10:43:20,10:43:20,S09,9
TNCG2_0910,10:55:00,10:55:00,S10,10
TNCG2_0910,11:06:40,11:06:40,S11,11
TNCG2_0910,11:18:20,11:18:20,S12,12
TNCG2_0910,11:30:00,11:30:00,S13,13
TNCG2_0910,11:41:40,11:41:40,S14,14
TNCG2_0910,11:53:20,11:53:20,S15,15
TNCG2_0910,12:05:00,12:05:00,S16,16
TNCG2_0910,12:16:40,12:16:40,S17,17
TNCG2_0910,12:28:20,12:28:20,S18,18
TNCG2_0910,12:40:00,12:40:00,S19,19
TNCG2_0910,12:51:40,12:51:40,S20,20
TNCG2_0910,13:03:20,13:03:20,S21,21
TNCG2_0910,13:15:00,13:15:00,S22,22
TNCG2_0910,13:26:40,13:26:40,S23,23
TNCG2_0910,13:38:20,13:38:20,S24,24
TNCG2_0910,13:50:00,13:50:00,S25,25
TNCG2_0950,09:50:00,09:50:00,S01,1
TNCG2_0950,10:03:32,10:03:32,S02,2
TNCG2_0950,10:17:05,10:17:05,S03,3
TNCG2_0950,10:30:38,10:30:38,S04,4
TNCG2_0950,10:44:10,10:44:10,S05,5
TNCG2_0950,10:57:42,10:57:42,S06,6
TNCG2_0950,11:11:15,11:11:15,S07,7
TNCG2_0950,11:24:48,11:24:48,S08,8
TNCG2_0950,11:38:20,11:38:20,S09,9
TNCG2_0950,11:51:52,11:51:52,S10,10
TNCG2_0950,12:05:25,12:05:25,S11,11
TNCG2_0950,12:18:58,12:18:58,S12,12
TNCG2_0950,12:32:30,12:32:30,S13,13
TNCG2_0950,12:46:02,12:46:02,S14,14
TNCG2_0950,12:59:35,12:59:35,S15,15
TNCG2_0950,13:13:08,13:13:08,S16,16
TNCG2_0950,13:26:40,13:26:40,S17,17
TNCG2_0950,13:40:12,13:40:12,S18,18
TNCG2_0950,13:53:45,13:53:45,S19,19
TNCG2_0950,14:07:18,14:07:18,S20,20
TNCG2_0950,14:20:50,14:20:50,S21,21
TNCG2_0950,14:34:22,14:34:22,S22,22
TNCG2_0950,14:47:55,14:47:55,S23,23
TNCG2_0950,15:01:28,15:01:28,S24,24
TNCG2_0950,15:15:00,15:15:00,S25,25
TNCG2R_0900,09:00:00,09:00:00,S25,1
TNCG2R_0900,09:12:30,09:12:30,S24,2
TNCG2R_0900,09:25:00,09:25:00,S23,3
TNCG2R_0900,09:37:30,09:37:30,S22,4
TNCG2R_0900,09:50:00,09:50:00,S21,5
TNCG2R_0900,10:02:30,10:02:30,S20,6
TNCG2R_0900,10:15:00,10:15:00,S19,7
TNCG2R_0900,10:27:30,10:27:30,S18,8
TNCG2R_0900,10:40:00,10:40:00,S17,9
TNCG2R_0900,10:52:30,10:52:30,S16,10
TNCG2R_0900,11:05:00,11:05:00,S15,11
TNCG2R_0900,11:17:30,11:17:30,S14,12
TNCG2R_0900,11:30:00,11:30:00,S13,13
TNCG2R_0900,11:42:30,11:42:30,S12,14
TNCG2R_0900,11:55:00,11:55:00,S11,15
TNCG2R_0900,12:07:30,12:07:30,S10,16
TNCG2R_0900,12:20:00,12:20:00,S09,17
TNCG2R_0900,12:32:30,12:32:30,S08,18
TNCG2R_0900,12:45:00,12:45:00,S07,19
TNCG2R_0900,12:57:30,12:57:30,S06,20
TNCG2R_0900,13:10:00,13:10:00,S05,21
TNCG2R_0900,13:22:30,13:22:30,S04,22
TNCG2R_0900,13:35:00,13:35:00,S03,23
TNCG2R_0900,13:47:30,13:47:30,S02,24
TNCG2R_0900,14:00:00,14:00:00,S01,25
TNCG2R_0950,09:50:00,09:50:00,S25,1
TNCG2R_0950,10:02:55,10:02:55,S24,2
TNCG2R_0950,10:15:50,10:15:50,S23,3
TNCG2R_0950,10:28:45,10:28:45,S22,4
TNCG2R_0950,10:41:40,10:41:40,S21,5
TNCG2R_0950,10:54:35,10:54:35,S20,6
TNCG2R_0950,11:07:30,11:07:30,S19,7
TNCG2R_0950,11:20:25,11:20:25,S18,8
TNCG2R_0950,11:33:20,11:33:20,S17,9
TNCG2R_0950,11:46:15,11:46:15,S16,10
TNCG2R_0950,11:59:10,11:59:10,S15,11
TNCG2R_0950,12:12:05,12:12:05,S14,12
TNCG2R_0950,12:25:00,12:25:00,S13,13
TNCG2R_0950,12:37:55,12:37:55,S12,14
TNCG2R_0950,12:50:50,12:50:50,S11,15
TNCG2R_0950,13:03:45,13:03:45,S10,16
TNCG2R_0950,13:16:40,13:16:40,S09,17
TNCG2R_0950,13:29:35,13:29:35,S08,18
TNCG2R_0950,13:42:30,13:42:30,S07,19
TNCG2R_0950,13:55:25,13:55:25,S06,20
TNCG2R_0950,14:08:20,14:08:20,S05,21
TNCG2R_0950,14:21:15,14:21:15,S04,22
TNCG2R_0950,14:34:10,14:34:10,S03,23
TNCG2R_0950,14:47:05,14:47:05,S02,24
TNCG2R_0950,15:00:00,15:00:00,S01,25
TNCG2R_1300,13:00:00,13:00:00,S25,1
TNCG2R_1300,13:13:45,13:13:45,S24,2
TNCG2R_1300,13:27:30,13:27:30,S23,3
TNCG2R_1300,13:41:15,13:41:15,S22,4
TNCG2R_1300,13:55:00,13:55:00,S21,5
TNCG2R_1300,14:08:45,14:08:45,S20,6
TNCG2R_1300,14:22:30,14:22:30,S19,7
TNCG2R_1300,14:36:15,14:36:15,S18,8
TNCG2R_1300,14:50:00,14:50:00,S17,9
TNCG2R_1300,15:03:45,15:03:45,S16,10
TNCG2R_1300,15:17:30,15:17:30,S15,11
TNCG2R_1300,15:31:15,15:31:15,S14,12
TNCG2R_1300,15:45:00,15:45:00,S13,13
TNCG2R_1300,15:58:45,15:58:45,S12,14
TNCG2R_1300,16:12:30,16:12:30,S11,15
TNCG2R_1300,16:26:15,16:26:15,S10,16
TNCG2R_1300,16:40:00,16:40:00,S09,17
TNCG2R_1300,16:53:45,16:53:45,S08,18
TNCG2R_1300,17:07:30,17:07:30,S07,19
TNCG2R_1300,17:21:15,17:21:15,S06,20
TNCG2R_1300,17:35:00,17:35:00,S05,21
TNCG2R_1300,17:48:45,17:48:45,S04,22
TNCG2R_1300,18:02:30,18:02:30,S03,23
TNCG2R_1300,18:16:15,18:16:15,S02,24
TNCG2R_1300,18:30:00,18:30:00,S01,25
TNCG2R_1400,14:00:00,14:00:00,S25,1
TNCG2R_1400,14:13:08,14:13:08,S24,2
TNCG2R_1400,14:26:15,14:26:15,S23,3
TNCG2R_1400,14:39:22,14:39:22,S22,4
TNCG2R_1400,14:52:30,14:52:30,S21,5
TNCG2R_1400,15:05:38,15:05:38,S20,6
TNCG2R_1400,15:18:45,15:18:45,S19,7
TNCG2R_1400,15:31:52,15:31:52,S18,8
TNCG2R_1400,15:45:00,15:45:00,S17,9
TNCG2R_1400,15:58:08,15:58:08,S16,10
TNCG2R_1400,16:11:15,16:11:15,S15,11
TNCG2R_1400,16:24:22,16:24:22,S14,12
TNCG2R_1400,16:37:30,16:37:30,S13,13
TNCG2R_1400,16:50:38,16:50:38,S12,14
TNCG2R_1400,17:03:45,17:03:45,S11,15
TNCG2R_1400,17:16:52,17:16:52,S10,16
TNCG2R_1400,17:30:00,17:30:00,S09,17
TNCG2R_1400,17:43:08,17:43:08,S08,18
TNCG2R_1400,17:56:15,17:56:15,S07,19
TNCG2R_1400,18:09:22,18:09:22,S06,20
TNCG2R_1400,18:22:30,18:22:30,S05,21
TNCG2R_1400,18:35:38,18:35:38,S04,22
TNCG2R_1400,18:48:45,18:48:45,S03,23
TNCG2R_1400,19:01:52,19:01:52,S02,24
TNCG2R_1400,19:15:00,19:15:00,S01,25
TNCG2R_1625,16:25:00,16:25:00,S25,1
TNCG2R_1625,16:37:05,16:37:05,S24,2
TNCG2R_1625,16:49:10,16:49:10,S23,3
TNCG2R_1625,17:01:15,17:01:15,S22,4
TNCG2R_1625,17:13:20,17:13:20,S21,5
TNCG2R_1625,17:25:25,17:25:25,S20,6
TNCG2R_1625,17:37:30,17:37:30,S19,7
TNCG2R_1625,17:49:35,17:49:35,S18,8
TNCG2R_1625,18:01:40,18:01:40,S17,9
TNCG2R_1625,18:13:45,18:13:45,S16,10
TNCG2R_1625,18:25:50,18:25:50,S15,11
TNCG2R_1625,18:37:55,18:37:55,S14,12
TNCG2R_1625,18:50:00,18:50:00,S13,13
TNCG2R_1625,19:02:05,19:02:05,S12,14
TNCG2R_1625,19:14:10,19:14:10,S11,15
TNCG2R_1625,19:26:15,19:26:15,S10,16
TNCG2R_1625,19:38:20,19:38:20,S09,17
TNCG2R_1625,19:50:25,19:50:25,S08,18
TNCG2R_1625,20:02:30,20:02:30,S07,19
TNCG2R_1625,20:14:35,20:14:35,S06,20
TNCG2R_1625,20:26:40,20:26:40,S05,21
TNCG2R_1625,20:38:45,20:38:45,S04,22
TNCG2R_1625,20:50:50,20:50:50,S03,23
TNCG2R_1625,21:02:55,21:02:55,S02,24
TNCG2R_1625,21:15:00,21:15:00,S01,25
TNCG2R_1725,17:25:00,17:25:00,S25,1
TNCG2R_1725,17:37:05,17:37:05,S24,2
TNCG2R_1725,17:49:10,17:49:10,S23,3
TNCG2R_1725,18:01:15,18:01:15,S22,4
TNCG2R_1725,18:13:20,18:13:20,S21,5
TNCG2R_1725,18:25:25,18:25:25,S20,6
TNCG2R_1725,18:37:30,18:37:30,S19,7
TNCG2R_1725,18:49:35,18:49:35,S18,8
TNCG2R_1725,19:01:40,19:01:40,S17,9
TNCG2R_1725,19:13:45,19:13:45,S16,10
TNCG2R_1725,19:25:50,19:25:50,S15,11
